Año;Periodo;Precio del gasóleo
2019;Semana 49;1,22
2019;Semana 50;1,22
2019;Semana 51;1,22
2020;Semana 2;1,25
2020;Semana 3;1,25
2020;Semana 4;1,25
2020;Semana 5;1,24
2020;Semana 6;1,22
2020;Semana 7;1,21
2020;Semana 8;1,2
2020;Semana 9;1,2
2020;Semana 10;1,19
2020;Semana 11;1,17
2020;Semana 12;1,13
2020;Semana 13;1,08
2020;Semana 14;1,06
2020;Semana 15;1,04
2020;Semana 17;1,02
2020;Semana 18;1
2020;Semana 19;0,98
2020;Semana 20;0,98
2020;Semana 21;0,99
2020;Semana 22;1
2020;Semana 23;1
2020;Semana 24;1,01
2020;Semana 25;1,02
2020;Semana 26;1,03
2020;Semana 27;1,04
2020;Semana 28;1,05
2020;Semana 29;1,06
2020;Semana 30;1,06
2020;Semana 31;1,06
2020;Semana 32;1,06
2020;Semana 33;1,06
2020;Semana 34;1,06
2020;Semana 35;1,06
2020;Semana 36;1,06
2020;Semana 37;1,05
2020;Semana 38;1,04
2020;Semana 39;1,03
2020;Semana 40;1,03
2020;Semana 41;1,03
2020;Semana 42;1,03
2020;Semana 43;1,03
2020;Semana 44;1,03
2020;Semana 45;1,02
2020;Semana 46;1,01
2020;Semana 47;1,02
2020;Semana 48;1,03
2020;Semana 49;1,04
2020;Semana 50;1,05
2020;Semana 51;1,06
2020;Semana 52;1,07
2021;Semana 3;1,09
2021;Semana 4;1,1
2021;Semana 5;1,11
2021;Semana 6;1,11
2021;Semana 7;1,12
2021;Semana 8;1,13
2021;Semana 9;1,15
2021;Semana 10;1,17
2021;Semana 11;1,17
2021;Semana 12;1,19
2021;Semana 13;1,19
2021;Semana 14;1,18
2021;Semana 15;1,18
2021;Semana 16;1,18
2021;Semana 17;1,18
2021;Semana 18;1,18
2021;Semana 19;1,19
2021;Semana 20;1,2
2021;Semana 21;1,21
2021;Semana 22;1,21
2021;Semana 23;1,21
2021;Semana 24;1,22
2021;Semana 25;1,23
2021;Semana 26;1,24
2021;Semana 27;1,25
2021;Semana 28;1,25
2021;Semana 29;1,26
2021;Semana 30;1,27
2021;Semana 31;1,26
2021;Semana 32;1,27
2021;Semana 33;1,27
2021;Semana 34;1,27
2021;Semana 35;1,26
2021;Semana 36;1,26
2021;Semana 37;1,27
2021;Semana 38;1,27
2021;Semana 39;1,28
2021;Semana 40;1,29
2021;Semana 41;1,31
2021;Semana 42;1,34
2021;Semana 43;1,36
2021;Semana 44;1,37
2021;Semana 45;1,38
2021;Semana 46;1,38
2021;Semana 47;1,39
2021;Semana 48;1,38
2021;Semana 49;1,38
2021;Semana 50;1,35
2021;Semana 51;1,35
2021;Semana 52;1,34
2022;Semana 2;1,35
2022;Semana 3;1,36
2022;Semana 4;1,38
2022;Semana 5;1,4
2022;Semana 6;1,42
2022;Semana 7;1,44
2022;Semana 8;1,46
2022;Semana 9;1,48
2022;Semana 10;1,5
2022;Semana 11;1,58
2022;Semana 12;1,82
2022;Semana 13;1,8
2022;Semana 14;1,84
2022;Semana 15;1,65
2022;Semana 16;1,61
2022;Semana 18;1,85
2022;Semana 19;1,87
2022;Semana 20;1,91
2022;Semana 21;1,89
2022;Semana 22;1,87
2022;Semana 23;1,85
2022;Semana 24;1,92
2022;Semana 25;2
2022;Semana 26;2,08
