Marca;MARCA;MODELO;Ventas total;Precio;range km;tiempo;kWh;eficiencia Wh/km;cargarapida km/h;velocidadmax km/h;Segment_num;marketsegment;personas;towingcapacity;motor;url
1;VOLKSWAGEN;ID.3 PRO S - 4 SEATS;6323;42460;450;7.9;77.0;171;570;160;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1533/1-ID3-Pro-S---4-Seats
1;VOLKSWAGEN;ID.5 PRO PERFORMANCE;6323;50090;430;8.4;77.0;179;540;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1557/1-ID5-Pro-Performance
1;VOLKSWAGEN;ID.4 PURE PERFORMANCE;6323;41290;285;9.0;52.0;182;360;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1411/1-ID4-Pure-Performance
2;HYUNDAI;IONIQ 5 LONG RANGE AWD;6322;55500;370;5.2;70.0;189;910;185;3;C;5;1600;Battery Electric Vehicle ;https://ev-database.org/car/1479/2-IONIQ-5-Long-Range-AWD
2;HYUNDAI;IONIQ 5 LONG RANGE AWD;6322;55500;385;5.2;72.5;188;1010;185;3;C;5;1600;Battery Electric Vehicle ;https://ev-database.org/car/1663/2-IONIQ-5-Long-Range-AWD
3;TESLA;MODEL 3 LONG RANGE DUAL MOTOR;9144;60995;485;4.4;75.0;155;670;233;4;D;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1591/3-Model-3-Long-Range-Dual-Motor
4;BMW;I4 EDRIVE40;3393;60630;470;5.7;80.7;172;650;190;4;D;5;1600;Battery Electric Vehicle ;https://ev-database.org/car/1252/4-i4-eDrive40
3;TESLA;MODEL 3;9144;52995;380;6.1;57.5;151;590;225;4;D;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1555/3-Model-3
5;DACIA;SPRING ELECTRIC;1296;18750;170;15.0;26.8;158;170;125;1;A;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1319/5-Spring-Electric
6;KIA;EV6 GT;5185;63595;360;3.5;72.5;201;940;260;3;C;5;1600;Battery Electric Vehicle ;https://ev-database.org/car/1471/6-EV6-GT
7;MERCEDES;EQS 450+;2647;121432;640;6.2;107.8;168;840;210;6;F;5;750;Battery Electric Vehicle ;https://ev-database.org/car/1483/7-EQS-450plus
8;POLESTAR;2 LONG RANGE DUAL MOTOR;0;53900;395;4.7;75.0;190;510;205;4;D;5;1500;Battery Electric Vehicle ;https://ev-database.org/car/1488/8-2-Long-Range-Dual-Motor
